 Brussels, Belgium,1.205,"75,668"
 Antwerp, Belgium,1.85,"79,298"
 Limburg (Belgium), Belgium,0.873,"25,864"
 East Flanders, Belgium,1.506,"50,827"
 Flemish Brabant, Belgium,1.139,"44,896"
 West Flanders, Belgium,1.192,"42,270"
 Walloon Brabant, Belgium,0.402,"17,388"
 Hainaut, Belgium,1.344,"30,848"
 Liège, Belgium,1.108,"28,505"
 Luxembourg (Belgium), Belgium,0.285,"6,357"
 Namur, Belgium,0.495,"12,128"
North West, Bulgaria,0.756,"7,726"
North Central, Bulgaria,0.795,"8,469"
North East, Bulgaria,0.934,"11,726"
South East, Bulgaria,1.04,"13,334"
South West, Bulgaria,2.108,"53,541"
South Central, Bulgaria,1.417,"15,640"
 Prague, Czech Republic,1.295,"76,895"
 Central Bohemia, Czech Republic,1.353,"34,514"
Southwest, Czech Republic,1.221,"29,491"
Northwest, Czech Republic,1.117,"21,820"
Northeast, Czech Republic,1.511,"35,358"
Southeast, Czech Republic,1.692,"43,720"
Central Moravia, Czech Republic,1.216,"27,746"
 Moravian-Silesian, Czech Republic,1.216,"28,171"
 Capital Region of Denmark, Denmark,1.823,"93,252"
 Zealand, Denmark,0.835,"22,811"
 Southern Denmark, Denmark,1.221,"43,750"
 Central Jutland, Denmark,1.314,"47,481"
 North Jutland, Denmark,0.589,"19,913"
 Stuttgart (district), Germany,4.127,"199,730"
 Karlsruhe (district), Germany,2.796,"115,424"
 Freiburg (district), Germany,2.255,"81,310"
 Tubingen (district), Germany,1.846,"75,594"
 Upper Bavaria, Germany,4.65,"256,209"
 Lower Bavaria, Germany,1.23,"45,369"
 Upper Palatinate, Germany,1.104,"44,253"
 Upper Franconia, Germany,1.067,"38,001"
 Middle Franconia, Germany,1.76,"73,623"
 Lower Franconia, Germany,1.313,"50,259"
 Swabia, Germany,1.873,"70,002"
 Berlin, Germany,3.613,"136,390"
 Brandenburg, Germany,2.504,"68,217"
 Bremen, Germany,0.681,"31,554"
 Hamburg, Germany,1.831,"111,440"
 Darmstadt (district), Germany,3.978,"194,442"
 Gießen (district), Germany,1.046,"33,629"
 Kassel (district), Germany,1.219,"42,505"
 Mecklenburg-Vorpommern, Germany,1.611,"41,610"
 Braunschweig (district), Germany,1.596,"66,214"
 Hanover (district), Germany,2.144,"77,466"
 Lüneburg (district), Germany,1.706,"45,343"
 Weser-Ems, Germany,2.516,"84,820"
 Düsseldorf (district), Germany,5.199,"201,893"
 Cologne (district), Germany,4.454,"178,596"
 Münster (district), Germany,2.621,"82,483"
 Detmold (district), Germany,2.054,"72,772"
 Arnsberg (district), Germany,3.584,"116,792"
 Koblenz (district), Germany,1.493,"48,458"
 Trier (district), Germany,0.53,"15,681"
 Rheinhessen-Pfalz, Germany,2.051,"73,488"
 Saarland, Germany,0.994,"33,183"
 Dresden, Germany,1.599,"46,436"
 Chemnitz, Germany,1.445,"38,847"
 Leipzig, Germany,1.038,"31,356"
 Saxony-Anhalt, Germany,2.223,"58,681"
 Schleswig-Holstein, Germany,2.89,"89,776"
 Thuringia, Germany,2.151,"58,852"
 Estonia, Estonia,1.319,"33,329"
Northern and Western, Ireland,0.856,"19,175"
Southern, Ireland,1.605,"111,669"
Eastern and Midland, Ireland,2.369,"154,220"
Eastern Macedonia and Thrace, Greece,0.601,"8,764"
Central Macedonia, Greece,1.876,"31,259"
Western Macedonia, Greece,0.269,"4,847"
Epirus, Greece,0.334,"4,987"
Thessaly, Greece,0.722,"11,812"
Ionian Islands, Greece,0.205,"3,983"
Western Greece, Greece,0.659,"10,178"
Central Greece, Greece,0.556,"10,722"
Peloponnese, Greece,0.577,"10,084"
Attica, Greece,3.756,"106,867"
North Aegean, Greece,0.211,"3,118"
South Aegean, Greece,0.341,"7,812"
Crete, Greece,0.634,"11,479"
 Galicia, Spain,2.703,"68,374"
 Asturias, Spain,1.028,"25,506"
 Cantabria, Spain,0.581,"15,081"
 Basque Country, Spain,2.171,"78,864"
 Navarre, Spain,0.644,"22,163"
 La Rioja (Spain), Spain,0.313,"9,302"
 Aragon, Spain,1.313,"40,474"
 Community of Madrid, Spain,6.55,"252,202"
 Castile and León, Spain,2.419,"63,299"
 Castile-La Mancha, Spain,2.033,"45,180"
 Extremadura, Spain,1.07,"21,886"
 Catalonia, Spain,7.489,"249,893"
 Valencian Community, Spain,4.946,"121,272"
 Balearic Islands, Spain,1.167,"35,560"
 Andalusia, Spain,8.41,"175,521"
 Region of Murcia, Spain,1.476,"34,376"
 Ceuta, Spain,0.085,"1,868"
 Melilla, Spain,0.085,"1,713"
 Canary Islands, Spain,2.177,"49,961"
 Île-de-France, France,12.211,"672,780"
 Centre-Val de Loire, France,2.571,"66,356"
 Burgundy, France,1.626,"41,287"
 Franche-Comté, France,1.176,"27,980"
 Lower Normandy, France,1.47,"36,882"
 Upper Normandy, France,1.853,"50,191"
 Nord-Pas-de-Calais, France,4.064,"104,111"
 Picardy, France,1.929,"44,149"
 Alsace, France,1.892,"55,971"
 Champagne-Ardenne, France,1.322,"34,538"
 Lorraine, France,2.325,"53,338"
 Pays de la Loire, France,3.773,"109,230"
 Brittany, France,3.327,"91,208"
 Aquitaine, France,3.432,"97,887"
 Limousin, France,0.732,"18,019"
 Poitou-Charentes, France,1.807,"46,393"
 Languedoc-Roussillon, France,2.825,"67,059"
 Midi-Pyrénées, France,3.048,"89,886"
 Auvergne, France,1.363,"33,338"
 Rhône-Alpes, France,6.614,"214,152"
 Provence-Alpes-Côte d'Azur, France,5.04,"149,295"
 Corsica, France,0.338,"8,840"
 Guadeloupe, France,0.421,"9,397"
 Martinique, France,0.368,"8,717"
 French Guiana, France,0.276,"4,125"
 Réunion, France,0.856,"18,639"
 Mayotte, France,0.26,"2,439"
Adriatic Croatia, Croatia,1.378,"25,843"
Continental Croatia, Croatia,2.727,"53,879"
 Piemonte, Italy,4.376,"139,496"
 Aosta Valley, Italy,0.126,"4,972"
 Liguria, Italy,1.557,"50,685"
 Lombardy, Italy,10.036,"394,224"
 Autonomous Province of Bolzano - South Tyrol, Italy,0.528,"25,313"
 Autonomous Province of Trento, Italy,0.54,"20,862"
 Veneto, Italy,4.905,"165,426"
 Friuli-Venezia Giulia, Italy,1.216,"38,618"
 Emilia-Romagna, Italy,4.453,"164,044"
 Toscana, Italy,3.737,"119,384"
 Umbria, Italy,0.885,"22,821"
 Marche, Italy,1.532,"43,986"
 Lazio, Italy,5.897,"200,652"
 Abruzzo, Italy,1.315,"34,397"
 Molise, Italy,0.308,"6,530"
 Campania, Italy,5.827,"109,751"
 Puglia, Italy,4.048,"78,123"
 Basilicata, Italy,0.567,"12,768"
 Calabria, Italy,1.957,"33,779"
 Sicily, Italy,5.027,"90,403"
 Sardinia, Italy,1.648,"35,461"
 Cyprus, Cyprus,0.864,"24,048"
 Latvia, Latvia,1.934,"41,030"
 Vilnius Capital Region, Lithuania,0.805,"29,077"
Middle and western Lithuania, Lithuania,2.004,"40,532"
 Luxembourg, Luxembourg,0.602,"49,234"
 Budapest, Hungary,1.75,"78,071"
 Pest, Hungary,1.262,"22,055"
Central Transdanubia, Hungary,1.056,"21,339"
Western Transdanubia, Hungary,0.985,"21,894"
Southern Transdanubia, Hungary,0.887,"13,299"
Northern Hungary, Hungary,1.135,"17,078"
Northern Great Plain, Hungary,1.46,"20,478"
Southern Great Plain, Hungary,1.244,"19,849"
 Malta, Malta,0.476,"14,674"
 Groningen, Netherlands,0.583,"22,183"
 Friesland, Netherlands,0.647,"17,628"
 Drenthe, Netherlands,0.492,"13,410"
 Overijssel, Netherlands,1.152,"38,407"
 Gelderland, Netherlands,2.06,"69,549"
 Flevoland, Netherlands,0.412,"12,450"
 Utrecht, Netherlands,1.295,"63,557"
 North Holland, Netherlands,2.831,"148,351"
 South Holland, Netherlands,3.681,"145,564"
 Zeeland, Netherlands,0.382,"12,066"
 North Brabant, Netherlands,2.528,"103,162"
 Limburg (Netherlands), Netherlands,1.117,"39,547"
 Burgenland, Austria,0.293,"8,139"
 Lower Austria, Austria,1.671,"55,155"
 Vienna, Austria,1.889,"87,150"
 Carinthia, Austria,0.561,"18,875"
 Styria, Austria,1.24,"44,836"
 Upper Austria, Austria,1.474,"59,520"
 Salzburg, Austria,0.553,"26,253"
 Tyrol, Austria,0.751,"31,341"
 Vorarlberg, Austria,0.392,"17,244"
 Lesser Poland, Poland,3.349,"68,107"
 Silesian, Poland,4.501,"102,764"
 Greater Poland, Poland,3.466,"81,906"
 West Pomeranian, Poland,1.679,"30,768"
 Lubusz, Poland,1.004,"18,192"
 Lower Silesian, Poland,2.865,"69,323"
 Opole, Poland,0.949,"17,074"
 Kuyavian-Pomeranian, Poland,2.06,"36,750"
 Warmian-Masurian, Poland,1.418,"21,413"
 Pomeranian, Poland,2.295,"49,239"
 Łódź, Poland,2.462,"49,974"
 Świętokrzyskie, Poland,1.232,"19,551"
 Lublin, Poland,2.105,"31,117"
 Subcarpathian, Poland,2.086,"32,713"
 Podlaskie, Poland,1.155,"18,309"
 Warsaw, Poland,3.025,"145,835"
Masovian Regional, Poland,2.335,"43,184"
Northern Portugal, Portugal,3.576,"72,201"
Algarve, Portugal,0.44,"11,592"
Central Portugal, Portugal,2.231,"45,837"
Lisbon metropolitan area, Portugal,2.834,"87,895"
Alentejo, Portugal,0.712,"15,703"
 Autonomous Region of the Azores, Portugal,0.244,"5,108"
 Autonomous Region of Madeira, Portugal,0.254,"5,862"
North West, Romania,2.561,"48,238"
Centre, Romania,2.326,"44,505"
North East, Romania,3.221,"41,139"
South East, Romania,2.422,"40,506"
South - Muntenia, Romania,2.965,"46,301"
Bucharest - Ilfov, Romania,2.301,"107,988"
South West - Oltenia, Romania,1.95,"29,524"
West, Romania,1.785,"37,138"
Eastern Slovenia, Slovenia,1.09,"24,137"
Western Slovenia, Slovenia,0.977,"31,588"
 Bratislava Region, Slovakia,0.651,"34,944"
Western Slovakia, Slovakia,1.828,"37,726"
Central Slovakia, Slovakia,1.341,"24,106"
Eastern Slovakia, Slovakia,1.623,"26,417"
West Finland, Finland,1.38,"41,974"
 Helsinki-Uusimaa, Finland,1.656,"73,750"
South Finland, Finland,1.157,"35,466"
North & East Finland, Finland,1.291,"37,165"
 Åland, Finland,0.029,"1,103"
 Stockholm, Sweden,2.308,"117,359"
East Middle Sweden, Sweden,1.688,"55,148"
Småland and the islands, Sweden,0.857,"28,128"
South Sweden, Sweden,1.504,"48,002"
West Sweden, Sweden,2.016,"74,340"
North Middle Sweden, Sweden,0.852,"25,848"
Middle Norrland, Sweden,0.376,"12,133"
Upper Norrland, Sweden,0.52,"18,616"